iter	Passed	Remaining
0	0	93
1	1	95
2	2	95
3	3	88
4	4	89
5	5	86
6	6	84
7	7	82
8	8	82
9	9	82
10	10	83
11	11	84
12	12	84
13	13	83
14	14	82
15	15	81
16	16	80
17	17	79
18	18	78
19	19	77
20	20	75
21	20	74
22	21	73
23	23	72
24	23	71
25	24	70
26	25	70
27	26	68
28	27	68
29	28	66
30	29	65
31	30	64
32	31	64
33	32	62
34	33	62
35	34	61
36	35	59
37	36	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	40	52
44	41	50
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	62	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
