iter	Passed	Remaining
0	0	58
1	1	53
2	1	51
3	1	47
4	2	46
5	2	45
6	3	44
7	3	44
8	4	43
9	4	43
10	5	42
11	5	41
12	6	41
13	6	40
14	7	40
15	7	39
16	8	39
17	8	38
18	8	37
19	9	37
20	9	36
21	10	36
22	10	36
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	14	32
30	14	32
31	14	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	28
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	21	26
45	22	25
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	23
53	26	22
54	26	21
55	27	21
56	27	21
57	28	20
58	28	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	37	13
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
